"Vremenska oznaka","Spol","Dob","Stupanj obrazovanja","Radni status","Područje struke","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 6 i 7]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Što misliš, koliko je autora napisalo ovaj tekst?"
"2024/05/15 10:47:18 PM EEST","Ženski","45-54","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/15 10:48:57 PM EEST","Ženski","55-64","Srednja stručna sprema","Zaposlen","Društvene znanosti","Različiti autori","Isti autori","Isti autori","Isti autori","Različiti autori","3","Isti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","Isti autori","3","Isti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","3","Isti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Različiti autori","Različiti autori","3"
"2024/05/15 10:54:57 PM EEST","Muški","55-64","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Isti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","3"
"2024/05/15 11:08:59 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","2","Različiti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","2","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","3","Različiti autori","Isti autori","Isti autori","Isti autori","2"
"2024/05/15 11:12:27 PM EEST","Ženski","45-54","Specijalistički i postdiplomski studij","Zaposlen","Društvene znanosti","Različiti autori","Isti autori","Isti autori","Isti autori","Isti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4","Isti autori","Različiti autori","Isti autori","Isti autori","Isti autori","2","Različiti autori","Isti autori","Isti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Različiti autori","Različiti autori","3"
"2024/05/16 2:55:29 AM EEST","Ženski","18-24","Visoka stručna sprema (diplomski studij, magisterij)","Student","Biomedicina i zdravstvo","Isti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","3","Različiti autori","Isti autori","Isti autori","Različiti autori","Isti autori","4","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Različiti autori","Isti autori","Isti autori","Različiti autori","2"
"2024/05/16 8:06:34 AM EEST","Muški","55-64","Viša stručna sprema (preddiplomski studij)","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","2","Različiti autori","Različiti autori","Isti autori","Isti autori","Isti autori","Isti autori","2","Isti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","4","Isti autori","Isti autori","Različiti autori","Isti autori","2"
"2024/05/16 11:30:06 AM EEST","Muški","55-64","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","3","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","2","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","2","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/16 5:15:33 PM EEST","Muški","25-35","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4","Različiti autori","Isti autori","Isti autori","Isti autori","Različiti autori","Isti autori","3","Isti autori","Isti autori","Različiti autori","Isti autori","Isti autori","3","Različiti autori","Isti autori","Isti autori","Isti autori","Isti autori","2","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4"
"2024/05/17 2:12:53 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Društvene znanosti","Različiti autori","Različiti autori","Isti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","2","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","2","Različiti autori","Različiti autori","Isti autori","Isti autori","2"
"2024/05/17 4:08:54 PM EEST","Muški","45-54","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Isti autori","Isti autori","3","Isti autori","Isti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","2","Različiti autori","Različiti autori","Isti autori","Isti autori","Isti autori","2","Različiti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","3","Isti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/17 8:55:52 PM EEST","Ženski","35-44","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","3","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","2","Različiti autori","Isti autori","Različiti autori","Isti autori","2"
"2024/05/22 3:48:18 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Student","Tehničke znanosti","Isti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","4","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","Isti autori","4","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","4","Različiti autori","Isti autori","Isti autori","Različiti autori","Isti autori","3","Različiti autori","Isti autori","Isti autori","Isti autori","2"